population	het	psi.sum	rep	model
4	0.1238444	-0.1771095421	8	center_sym
5	0.1348827	0.1280507658	8	center_sym
6	0.1323951	0.05035056422	8	center_sym
7	0.1377305	0.2502492972	8	center_sym
8	0.1304033	0.04450984807	8	center_sym
9	0.1346705	1.82E-01	8	center_sym
10	0.1291677	-0.04272148423	8	center_sym
1	0.1389213	0.3172085162	9	center_sym
2	0.1385618	0.2899511594	9	center_sym
3	0.1326974	0.1094606985	9	center_sym
4	0.1287822	-0.1003739607	9	center_sym
5	0.1313512	-0.04012387704	9	center_sym
6	0.1250008	-0.2365111769	9	center_sym
7	0.1277766	-0.1536514751	9	center_sym
8	0.1267931	-0.1352998351	9	center_sym
9	0.1289499	1.35E-02	9	center_sym
10	0.1277585	-0.06419982422	9	center_sym
1	0.1330946	0.204700161	2	equal_asym
2	0.1159932	-0.4614647812	2	equal_asym
3	0.1051082	-0.8824154207	2	equal_asym
4	0.1369102	0.3208945287	2	equal_asym
5	0.1433657	0.5722916278	2	equal_asym
6	0.1372267	0.3639138375	2	equal_asym
7	0.1380002	0.4202096052	2	equal_asym
8	0.122107	-0.2003263534	2	equal_asym
9	0.1243599	-5.22E-02	2	equal_asym
10	0.1188523	-0.2856512547	2	equal_asym
1	0.1143246	-0.3519870172	3	equal_asym
2	0.1196577	-0.1511776759	3	equal_asym
3	0.1181057	-0.2299889601	3	equal_asym
4	0.1156244	-0.3190405804	3	equal_asym
5	0.1268241	0.136175301	3	equal_asym
6	0.1357452	0.4945175813	3	equal_asym
7	0.1367765	0.4976588179	3	equal_asym
8	0.1316218	0.3473486061	3	equal_asym
9	0.1178943	-1.69E-01	3	equal_asym
10	0.1168033	-0.2543542228	3	equal_asym
1	0.1174388	-0.1057934555	4	equal_asym
2	0.1329826	0.3897515702	4	equal_asym
3	0.1160987	-0.1738224378	4	equal_asym
4	0.1255342	0.187333211	4	equal_asym
5	0.1289502	0.2900727438	4	equal_asym
6	0.1159072	-0.2421527785	4	equal_asym
7	0.1260594	0.1492904395	4	equal_asym
8	0.1262418	0.1230458219	4	equal_asym
9	0.125375	1.28E-01	4	equal_asym
10	0.1038298	-0.7459797143	4	equal_asym
1	0.1073293	-0.8330621646	5	equal_asym
2	0.1159874	-0.4760327714	5	equal_asym
3	0.1211628	-0.2365261383	5	equal_asym
4	0.1307183	0.07066183551	5	equal_asym
5	0.1387869	0.3779337406	5	equal_asym
6	0.1455011	0.596965481	5	equal_asym
7	0.1356507	0.2566452269	5	equal_asym
8	0.1296693	0.0390606853	5	equal_asym
9	0.1343258	0.2334533736	5	equal_asym
10	0.1275822	-0.0290992685	5	equal_asym
1	0.1187596	-0.2062550672	6	equal_asym
2	0.1143409	-0.4823599035	6	equal_asym
3	0.1197697	-0.2029228849	6	equal_asym
4	0.137512	0.4016974896	6	equal_asym
5	0.1384282	0.5155229451	6	equal_asym
6	0.1287371	0.1736984843	6	equal_asym
7	0.1315948	0.3180409323	6	equal_asym
8	0.1295458	0.2100534834	6	equal_asym
9	0.1036825	-8.74E-01	6	equal_asym
10	0.1276456	0.1467677639	6	equal_asym
1	0.11602456	-0.04805110434	7	equal_asym
2	0.12356178	0.2235817614	7	equal_asym
3	0.11628243	-0.03859849284	7	equal_asym
4	0.12571087	0.3441340386	7	equal_asym
5	0.13202254	0.520452042	7	equal_asym
6	0.13579381	0.6492579057	7	equal_asym
7	0.1199984	0.1034313355	7	equal_asym
8	0.11229902	-0.1511669589	7	equal_asym
9	0.10333475	-5.25E-01	7	equal_asym
10	0.09262442	-1.077605399	7	equal_asym
1	0.1293698	0.1323859321	8	equal_asym
2	0.1168609	-0.3006245681	8	equal_asym
3	0.1106979	-0.5407635843	8	equal_asym
4	0.1247835	0.0004413285329	8	equal_asym
5	0.1284969	0.1203822324	8	equal_asym
6	0.1302741	0.1998221288	8	equal_asym
7	0.1214835	-0.1949010464	8	equal_asym
8	0.1306204	0.2130024083	8	equal_asym
9	0.1315865	0.2361712994	8	equal_asym
10	0.1287171	0.1340838692	8	equal_asym
1	0.10956241	-0.2066369183	9	equal_asym
2	0.11863372	0.1937668208	9	equal_asym
3	0.12089354	0.2617332095	9	equal_asym
4	0.1241786	0.3425331106	9	equal_asym
5	0.13436539	0.7025756309	9	equal_asym
6	0.13109869	0.5851287205	9	equal_asym
7	0.09181437	-0.8806892167	9	equal_asym
8	0.11763891	0.1029860775	9	equal_asym
9	0.09894066	-6.02E-01	9	equal_asym
10	0.10116113	-0.4993677787	9	equal_asym
1	0.1122862	-0.4267728407	10	equal_asym
2	0.1144134	-0.2784254228	10	equal_asym
3	0.1077416	-0.5784756523	10	equal_asym
4	0.1288762	0.2552445175	10	equal_asym
5	0.1416433	0.7639863386	10	equal_asym
6	0.1145209	-0.2113747884	10	equal_asym
7	0.1236964	0.1170940511	10	equal_asym
8	0.1282395	0.2349989287	10	equal_asym
9	0.1247786	1.45E-01	10	equal_asym
10	0.1199907	-0.02145034226	10	equal_asym
1	0.1390576	0.05139368463	2	equal_sym
2	0.1308771	-0.2577627847	2	equal_sym
3	0.1405829	0.1055474288	2	equal_sym
4	0.1403893	0.08809049045	2	equal_sym
5	0.1375063	0.03478617481	2	equal_sym
6	0.1324187	-0.1090966902	2	equal_sym
7	0.1353914	-0.01694535908	2	equal_sym
8	0.1356934	0.007911402868	2	equal_sym
9	0.1356733	0.02255688559	2	equal_sym
10	0.1384574	0.07351876688	2	equal_sym
1	0.1267459	-0.1664022016	3	equal_sym
2	0.1251786	-0.1954128096	3	equal_sym
3	0.1305346	0.01264105195	3	equal_sym
4	0.130424	-0.02140103646	3	equal_sym
5	0.1329343	0.01770440614	3	equal_sym
6	0.1333534	0.0589215568	3	equal_sym
7	0.1332268	0.04161041081	3	equal_sym
8	0.1326867	0.01607541943	3	equal_sym
9	0.1304572	-6.44E-02	3	equal_sym
10	0.141367	0.3007118073	3	equal_sym
1	0.1281895	-0.09842680646	4	equal_sym
2	0.1265927	-0.1085096929	4	equal_sym
3	0.127963	-0.06272679876	4	equal_sym
4	0.136291	0.2166996061	4	equal_sym
5	0.1338055	0.1105074318	4	equal_sym
6	0.1286255	-0.08371385468	4	equal_sym
7	0.132098	0.07215517285	4	equal_sym
8	0.1256595	-0.1812541086	4	equal_sym
9	0.1311422	-0.008275189779	4	equal_sym
10	0.13482	0.1435442404	4	equal_sym
